Call Center ID,Operator Name,Issue Type,Response Time (mins),Call Time and Date,Number of Calls Daily
2cf73b78-beeb-478d-8922-4eaf7b56c858,Nancy Dawson,Accident,3,2024-01-09 00:00:00.945416,1869
39f984f3-b3a1-4a6b-8384-dd36e0071f77,Joanne Allen,Accident,10,2024-02-21 00:00:00.643371,1036
2a6ed2ff-7868-40a9-b57a-ef0d1f709a64,Robert Bell,Accident,21,2024-03-22 00:00:00.097961,1491
c0cdd700-e4ac-4d9a-a0e7-9e8380d6afb0,Mr. Richard Robinson Jr.,Road Block,14,2024-01-14 00:00:00.971021,1090
2f4b373a-73ac-41e8-9e5f-16d8ce168b21,Keith Durham,Complaint,26,2024-04-26 00:00:00.420132,1889
76857290-dc23-485d-957d-a88155ef9912,Keith Durham,Toll Issue,22,2024-06-03 00:00:00.774818,1745
e8cae648-cc15-45ab-b1f2-63fe89d61891,Nicole Stone,Complaint,12,2024-01-06 00:00:00.447050,1026
1246610c-f16a-4e39-8e5a-8b02afe7074e,Shannon Simpson MD,Traffic Signal Fault,17,2024-01-21 00:00:00.158005,1675
aab192ee-ccdb-4fd5-b03a-0af0b94d6cdc,Nancy Dawson,Road Block,5,2024-06-04 00:00:00.244692,1137
94211ada-d0f9-43d7-b405-f3ebfbfb14dd,Kimberly Reid,Complaint,14,2024-01-06 00:00:00.942851,1026
d7af3adf-5140-4062-bd22-1a7dbca5ac62,Keith Durham,Complaint,18,2024-04-10 00:00:00.175948,1646
14d1a4a3-e7ea-4065-b718-07c3a79f5189,Jessica Nunez,Road Block,7,2024-05-05 00:00:00.270374,1992
ee8bc1ac-f200-45fb-ac1f-43e267cb6bea,Susan Turner,Transport Query,6,2024-06-20 00:00:00.631735,1903
a883a060-bc1a-45ae-9aa9-cebd8260bad2,Kimberly Reid,Transport Query,19,2024-04-26 00:00:00.262536,1889
3f1cf8d0-ace3-4d07-8cde-2f7bb80896f7,Mr. Richard Robinson Jr.,Toll Issue,9,2024-03-08 00:00:00.415209,1654
0fdedaf3-c2de-4558-9857-1932a3c08e47,Dean Young,Transport Query,13,2024-01-09 00:00:00.335089,1869
ff348816-364e-4a90-9069-52a180545a7a,Carrie Quinn,Toll Issue,5,2024-02-09 00:00:00.782166,1632
818a96a1-ddf5-4313-8c4b-c8f692945dcc,Jon Ward,Road Block,6,2024-01-21 00:00:00.177946,1675
d43ea1cf-06ca-4d6b-9639-4d1507a78efc,Jerry Johnson,Complaint,23,2024-03-28 00:00:00.334443,1128
49eb36fc-63a8-49ee-bad5-e7f930353efc,Ralph David,Transport Query,26,2024-01-06 00:00:00.991178,1026
1fdf4639-3944-4077-8b5f-eae75fde07fd,Stephanie Ortega,Road Block,6,2024-06-22 00:00:00.461867,1280
e109a6c9-9fc3-4737-899a-430ce275b6c8,Erik Webb,Transport Query,5,2024-03-24 00:00:00.237720,1503
591911d8-7854-47f2-9e02-40a0889b4452,Jessica Nunez,Transport Query,23,2024-03-29 00:00:00.261389,1686
dbef5447-6b37-4fa9-a634-4059141289c3,Shannon Simpson MD,Complaint,19,2024-02-01 00:00:00.568103,1853
fce0d4ff-7a27-4345-bc26-55977e0b4a8e,Regina Conley,Transport Query,22,2024-06-20 00:00:00.424916,1903
b4b47625-6ef6-466f-b4ad-a55ad1f5f681,Christine Christensen,Complaint,27,2024-06-22 00:00:00.055580,1280
a0ff4191-4cbc-4ccd-97af-27b2f504fb31,Jennifer Stanley,Toll Issue,29,2024-01-06 00:00:00.223303,1026
55e2a328-2a9b-4cc0-99e5-bfb408c00990,Dean Young,Accident,30,2024-02-21 00:00:00.320066,1036
82952ba9-52e9-47f5-a2e2-ef40e89dd1c9,Nancy Dawson,Toll Issue,18,2024-01-03 00:00:00.370877,1459
4634773d-7304-405b-9347-cc6418f629ef,Christine Christensen,Traffic Signal Fault,20,2024-03-22 00:00:00.860632,1491
f8ffeb75-3402-42b4-937c-f7db35bcdd5a,Hailey Hopkins,Transport Query,21,2024-05-05 00:00:00.703940,1992
a8a95e68-c0f4-4440-9d56-61ea71ce7c7d,Sean Harvey,Road Block,24,2024-03-08 00:00:00.381903,1654
7467adc5-ab1a-4ea0-b807-5aa3d274fe73,Erik Webb,Complaint,27,2024-06-22 00:00:00.837884,1280
5823d76f-48ef-4b7d-bb00-6c323b0bde1a,Nancy Dawson,Transport Query,5,2024-02-29 00:00:00.958870,1246
32a92c75-1170-46f8-b9e4-29a831693a62,Keith Durham,Transport Query,16,2024-01-03 00:00:00.806708,1459
4b82e325-9ee5-484c-b840-954f07efec97,Susan Turner,Transport Query,21,2024-03-03 00:00:00.140082,1490
20d06f70-6a88-4628-a7bb-6cc88528f90c,Andrew Boyer,Accident,18,2024-04-26 00:00:00.913894,1889
292f6e7d-d201-4d31-a69a-3d077a09f462,Kimberly Reid,Traffic Signal Fault,14,2024-02-09 00:00:00.368178,1632
75311640-3106-476a-8da7-e61ad075f024,Matthew Keller,Accident,9,2024-03-24 00:00:00.394540,1503
107a51de-1f10-408c-a4d3-dc16a9e511f4,Kristina Werner,Transport Query,14,2024-02-01 00:00:00.543236,1853
2de8439c-8978-4574-8d05-1e73b5c1d535,Cynthia Freeman,Accident,21,2024-01-23 00:00:00.714950,1688
c20b2db9-4307-40ac-967a-f63ee70aa1aa,Regina Conley,Accident,1,2024-01-14 00:00:00.357746,1090
fad984ec-74f4-41e6-9ecd-60c385792e7c,Jerry Johnson,Road Block,12,2024-03-03 00:00:00.899258,1490
e3f61244-62a1-4758-9ddc-f0b54077ba3f,Michael Gonzalez,Transport Query,7,2024-06-04 00:00:00.591900,1137
632b9b88-3411-4aea-8c4f-1dc5bd18f35a,Anna Parsons,Toll Issue,17,2024-06-03 00:00:00.209500,1745
77b31d44-27f9-4c25-aba4-19cfe9b2bfc5,Jon Ward,Traffic Signal Fault,17,2024-01-31 00:00:00.774718,1559
019014f8-0965-4aa6-8b1f-3aeafc7d9ede,Susan Turner,Traffic Signal Fault,1,2024-01-31 00:00:00.926857,1559
0a02e44b-c39e-445c-9f6a-1607a66bc89b,Keith Durham,Traffic Signal Fault,25,2024-01-23 00:00:00.921869,1688
b87646e8-b03d-4553-9221-703d050372d6,Kristina Werner,Road Block,29,2024-03-08 00:00:00.979156,1654
8d2dd2b5-6578-4f23-b55b-d281145ba7eb,Keith Durham,Road Block,22,2024-02-29 00:00:00.580098,1246
f2e3f5f4-259c-4907-a86c-e1ae830f36d1,Cynthia Freeman,Complaint,8,2024-01-23 00:00:00.019714,1688
a84e8a98-ba9e-4558-bce5-499ed58930d2,Joseph Roberts,Complaint,23,2024-03-18 00:00:00.080163,1052
eae10530-f689-4cdb-ac16-98db628fb97d,Matthew Keller,Road Block,16,2024-02-09 00:00:00.427228,1632
4d0c6045-ca9d-4c5d-8567-5b60413d4d29,Richard Pugh,Toll Issue,1,2024-01-23 00:00:00.687135,1688
b3f5b85f-6d74-4e24-91a5-4c2147a9a327,David Price,Road Block,16,2024-01-31 00:00:00.731098,1559
90c571b6-b5f0-44ae-9a2a-dfadec0bbd9a,Susan Turner,Road Block,4,2024-03-03 00:00:00.481012,1490
5ba53385-2ee8-4b36-9625-b4b906379533,Krista Taylor,Traffic Signal Fault,4,2024-03-03 00:00:00.213835,1490
fcf2b122-fe70-4aa1-ac82-e39d824d4155,Kristina Werner,Accident,26,2024-03-22 00:00:00.430950,1491
bd6a51d1-3734-4db3-89bc-205228f16f94,Ralph Horton,Road Block,2,2024-02-01 00:00:00.944056,1853
ae1e9676-9637-4b9d-913f-aa33d957cc1d,Kimberly Reid,Transport Query,4,2024-03-22 00:00:00.107107,1491
6aebacdd-a88e-4479-ad90-dfa3ef3a5bf6,Shawn Moses,Transport Query,8,2024-02-09 00:00:00.890597,1632
fd7fb549-fe1b-4e19-b152-63433d1cef63,Ralph Horton,Traffic Signal Fault,30,2024-02-09 00:00:00.426991,1632
60fc5f95-ece7-405a-a9ed-2356d6853401,Jon Ward,Road Block,27,2024-06-20 00:00:00.303550,1903
37b2df7f-1944-4b4c-bd1b-fc33fddd1de7,Samantha Holland,Complaint,21,2024-03-08 00:00:00.881596,1654
46fcc842-9e32-4169-97f6-4571ffa5cc23,Samantha Holland,Traffic Signal Fault,14,2024-03-03 00:00:00.133696,1490
0dff040b-ea10-418c-b5a6-6ff806f1096b,Jonathan Hopkins,Toll Issue,1,2024-05-05 00:00:00.266977,1992
cab8fa90-af03-4317-a1ae-e87f7cf1b744,Richard Pugh,Toll Issue,17,2024-01-23 00:00:00.931004,1688
984adff7-f1ac-4c64-86cb-5357beefba9c,Nancy Dawson,Complaint,13,2024-04-26 00:00:00.424364,1889
59aeda15-187e-4473-9c98-0695485fa776,Kristina Werner,Road Block,2,2024-05-05 00:00:00.980806,1992
05640b46-443a-469a-b368-dd3f6e05928c,Keith Preston,Toll Issue,12,2024-02-09 00:00:00.362822,1632
d123d248-835d-43d0-95a7-6691e5ff3a26,Jennifer Stanley,Traffic Signal Fault,30,2024-01-03 00:00:00.395185,1459
164d9d3f-8d7f-48b9-bce8-617dcc1cee28,Sean Harvey,Road Block,20,2024-01-31 00:00:00.916689,1559
bd025f93-94e0-4af5-a51e-2f4f4ae171f2,Kristen Montoya,Complaint,29,2024-06-20 00:00:00.688566,1903
d4575fa8-5727-47cc-a630-d6b7fa8c1435,Jeffrey Harding,Complaint,21,2024-06-03 00:00:00.768477,1745
c512bb08-caca-4bfd-a86c-5bc7b08d9f35,Joseph Gray,Accident,15,2024-03-22 00:00:00.332126,1491
adcda725-d792-45c5-a6d4-8654f4ee69b2,Stephanie Ortega,Transport Query,9,2024-02-01 00:00:00.629748,1853
6574a9e4-ef90-4457-a7b6-fe142dc259d5,Kenneth Wells,Complaint,10,2024-03-08 00:00:00.510211,1654
40795631-afdf-4d28-b908-4ea23d9f57c7,Christine Christensen,Accident,20,2024-01-06 00:00:00.764874,1026
50e412ff-323f-4b2a-9bd5-c1304b381b2e,Andrew Boyer,Traffic Signal Fault,18,2024-04-26 00:00:00.763234,1889
67084ff8-d4ad-41a5-b031-88df53adcc01,Jennifer Stanley,Transport Query,11,2024-02-01 00:00:00.062534,1853
2d07bec6-6095-4f09-bfb3-3fbd15f3ba5e,Morgan Valdez,Accident,3,2024-03-28 00:00:00.865839,1128
2f6f1e91-321a-4da8-a0cc-f36d1dacfaa5,Shawn Moses,Transport Query,3,2024-05-05 00:00:00.983145,1992
d96306af-b78a-49b3-8f5f-983a3045a1a4,Robert Bell,Road Block,14,2024-01-21 00:00:00.452428,1675
fb10196d-46c8-456d-8682-2f2da755cc51,Shawn Moses,Accident,20,2024-06-04 00:00:00.893032,1137
b7d7b8ae-3acd-470c-8d1d-7dd63465b56f,Joseph Gray,Traffic Signal Fault,14,2024-06-03 00:00:00.618197,1745
606c8ed3-34a1-408f-8e18-bbe96ff889ae,Erik Webb,Complaint,15,2024-05-05 00:00:00.820407,1992
f035f0a3-c085-4cea-9e50-c71f52dd80e4,David Price,Toll Issue,4,2024-03-29 00:00:00.232817,1686
4671ee49-1cee-42d7-a499-ad463cf9bb55,Robert Bell,Traffic Signal Fault,11,2024-02-29 00:00:00.551819,1246
cb4bc8dd-f15f-4f27-8ade-6c59db4eeba4,Joshua Jones,Accident,26,2024-03-28 00:00:00.914278,1128
411330b7-bbc4-4396-a317-886c17ba049b,Krista Taylor,Complaint,16,2024-01-21 00:00:00.899129,1675
ce9fcbd8-4cc5-48d1-9c42-f2f130c21e1b,Joseph Gray,Road Block,10,2024-03-22 00:00:00.565034,1491
c291d890-651b-4aa7-abc6-be478ed81b83,Ralph Horton,Toll Issue,29,2024-03-22 00:00:00.944071,1491
25efdc74-6c66-4bb5-9093-8029d522dc60,Matthew Robinson,Toll Issue,17,2024-03-28 00:00:00.363897,1128
a5869853-ac6f-4f4e-8a5f-6829c8f04e1b,David Price,Accident,11,2024-06-03 00:00:00.463637,1745
a771a68d-1f77-4903-ad0a-e2799c56b519,Cameron Cordova,Traffic Signal Fault,23,2024-06-20 00:00:00.907862,1903
1b424249-716a-404d-8ebd-3bfaa21c5c1e,Jerry Johnson,Complaint,22,2024-06-03 00:00:00.893795,1745
cad8a779-38c0-4c83-b6b4-870413dd11bc,Christine Christensen,Complaint,24,2024-03-22 00:00:00.827677,1491
67997c72-1898-4c7c-b7c4-772064b4c023,Ralph David,Complaint,13,2024-05-05 00:00:00.471120,1992
09a10b7f-7ad9-48fb-aa67-ceee9a76b637,Ralph David,Road Block,24,2024-04-26 00:00:00.615410,1889
629be703-b82e-481b-8b8b-135a43bdc0da,Dean Young,Toll Issue,9,2024-02-01 00:00:00.784947,1853
c575535d-4f77-41d4-a95d-d8ec6c7d486b,Nancy Dawson,Road Block,21,2024-03-29 00:00:00.815548,1686
f7c33ed5-86c1-4357-b6ce-cfb5b41e2a32,Nicole Stone,Toll Issue,6,2024-03-08 00:00:00.193949,1654
a9df1c16-8817-466a-8e16-623fdf2317fd,Joseph Roberts,Road Block,2,2024-02-09 00:00:00.160652,1632
41bf62d2-f7e3-4c1c-9b4b-295bfbe930f3,Ralph Horton,Accident,8,2024-02-09 00:00:00.242478,1632
9e854f38-8421-4ac8-9534-07fbdea34eca,Jeffrey Harding,Complaint,13,2024-06-22 00:00:00.055818,1280
2788bf69-f9bb-417d-a268-3eed3d7e178a,David Price,Transport Query,30,2024-05-05 00:00:00.221162,1992
6638bdc7-9ef7-4af8-9c2e-6aac64955a35,Christine Christensen,Road Block,11,2024-01-06 00:00:00.924530,1026
a2b7b00d-97dd-4c87-8153-dc8e45f5afb6,Cynthia Freeman,Transport Query,8,2024-05-05 00:00:00.315317,1992
19e46377-4042-448d-a099-bcf0029e947d,Benjamin Hammond,Transport Query,6,2024-06-20 00:00:00.643748,1903
507c885c-c69a-48b6-84ac-34f577dd26b1,Kristen Montoya,Complaint,21,2024-04-10 00:00:00.309974,1646
b2d43d4c-6d30-49c5-b2f9-04d31f83f73b,Stephanie Ortega,Transport Query,13,2024-06-22 00:00:00.014977,1280
3a8bede6-c6c6-4054-9b81-71bef92bb85b,Andrew Boyer,Transport Query,2,2024-05-05 00:00:00.412046,1992
86c3e987-a3f4-4341-8fb2-9359bd7c41a8,Julia Jones,Accident,3,2024-02-09 00:00:00.586118,1632
cfb3b0ad-dcb6-45bd-947a-02ceb2d5a04e,Joseph Gray,Toll Issue,1,2024-01-03 00:00:00.553871,1459
fa0c17a3-f0a2-4cf7-a4c1-bcb10a4e0be3,Hailey Hopkins,Transport Query,26,2024-03-03 00:00:00.247869,1490
8e27ca2e-203c-426a-9412-77007db2a5d2,Stephanie Ortega,Transport Query,6,2024-02-09 00:00:00.897579,1632
e859057a-df3a-4306-8331-0d2baa50e937,Nicole Stone,Accident,13,2024-01-03 00:00:00.550967,1459
c664c3ea-59bd-4509-86d9-f1bb72a551e7,Joanne Allen,Accident,25,2024-01-23 00:00:00.578433,1688
56ff6b09-5107-4f3e-a71b-28b403fb395f,Mr. Richard Robinson Jr.,Complaint,25,2024-06-04 00:00:00.200644,1137
10f5ae79-2cdd-49b9-9495-b224849722a4,David Price,Traffic Signal Fault,11,2024-03-22 00:00:00.946469,1491
70a454b9-b1be-4fa4-9b6c-6686abd1b57b,Sean Harvey,Road Block,3,2024-01-03 00:00:00.915134,1459
ec1e70e4-2b0b-453c-b5ac-f1b75ad5d4af,Julia Jones,Traffic Signal Fault,12,2024-04-10 00:00:00.494137,1646
cdc21067-08af-41ca-8552-431f515bbd3a,Joshua Jones,Traffic Signal Fault,17,2024-03-22 00:00:00.072510,1491
20667eca-e9ab-4a47-ace4-e0b4ddc5330b,Sean Harvey,Toll Issue,23,2024-01-23 00:00:00.042654,1688
7c4cf42f-f94d-4da1-b683-959ce51ba275,Matthew Keller,Toll Issue,19,2024-01-03 00:00:00.114326,1459
f6f91ff4-46b1-4bb7-9b8e-770ecf32d4d6,Morgan Valdez,Traffic Signal Fault,12,2024-02-09 00:00:00.954795,1632
7c60676f-5d13-4687-9174-8fe874028293,Kenneth Wells,Traffic Signal Fault,18,2024-01-03 00:00:00.224568,1459
27555bd5-c458-48c6-86e8-3fbb6bf017bc,Regina Conley,Transport Query,14,2024-02-01 00:00:00.129781,1853
ae39cc59-6494-40cd-893d-ebbbe17723b8,Michael Gonzalez,Complaint,29,2024-01-23 00:00:00.025111,1688
4b7692f0-0064-47ad-ad62-fcfe2639bae6,Jennifer Stanley,Complaint,13,2024-01-31 00:00:00.292199,1559
362cc7b7-7f10-40fc-9014-e70df4760b8e,Christine Christensen,Traffic Signal Fault,16,2024-04-26 00:00:00.130943,1889
cde5c3ac-8c4a-4e87-86b2-eb86d3ae328a,Samantha Holland,Transport Query,19,2024-06-04 00:00:00.641065,1137
7e85afb7-fa8b-453c-af89-3b127c243497,Matthew Keller,Toll Issue,4,2024-04-10 00:00:00.849825,1646
762c9e6f-b154-418c-9272-9e5782bfe1a8,Morgan Valdez,Transport Query,19,2024-06-03 00:00:00.004799,1745
6c6d49a7-ed69-40bc-8494-6503b13507ad,Kimberly Reid,Traffic Signal Fault,18,2024-06-20 00:00:00.238677,1903
65fdb5e8-25cf-48c4-b029-f54143595f7a,Kristen Montoya,Complaint,29,2024-03-03 00:00:00.815129,1490
233c1aab-08a3-4a8e-ac08-153a54f9ea24,Jon Ward,Transport Query,5,2024-01-23 00:00:00.863857,1688
941ee393-73a7-4166-b6c3-8eb958ca38b7,Shawn Moses,Toll Issue,7,2024-01-14 00:00:00.259524,1090
372fe3ac-18b7-4641-a058-d1dd6a4b1968,Erik Webb,Complaint,15,2024-05-05 00:00:00.751576,1992
9ab46249-4f12-4aa0-bd0c-48feb5e919ed,Michael Gonzalez,Toll Issue,24,2024-03-22 00:00:00.443834,1491
f71daed1-8c66-416c-9905-a38fa2f29438,Ralph Horton,Toll Issue,25,2024-01-09 00:00:00.479330,1869
10e4f30d-2b5f-437b-88ef-5163c2161faa,Erik Webb,Complaint,10,2024-03-22 00:00:00.079998,1491
7bd17b05-41b4-4cfa-866f-efc165e33fa0,Dean Young,Toll Issue,17,2024-06-20 00:00:00.543331,1903
3ac59983-f592-4f7e-a418-371fe401fc8a,Jason Thompson,Toll Issue,11,2024-03-22 00:00:00.850597,1491
a7c934d9-f674-4d95-a71e-cf848500e12d,Shawn Moses,Transport Query,19,2024-01-03 00:00:00.500679,1459
e3c80707-9fe7-49eb-b7bb-acc095b56f46,Morgan Valdez,Transport Query,3,2024-02-09 00:00:00.767167,1632
56ffd75c-ae31-409f-850b-07850998a3b0,Michael Gonzalez,Complaint,30,2024-04-26 00:00:00.043725,1889
22b04534-17c0-41a5-9804-d7e96e01aae0,Morgan Valdez,Accident,19,2024-06-03 00:00:00.545456,1745
f80a5b57-e30d-4770-a39b-f9f834adaf45,Susan Turner,Complaint,12,2024-03-08 00:00:00.592604,1654
048d2879-0da9-44ab-a32e-5f37f0732867,Shannon Simpson MD,Complaint,22,2024-04-26 00:00:00.037515,1889
a2cf43fc-654e-40b4-9052-d74948416131,Jeffrey Harding,Road Block,8,2024-01-23 00:00:00.756787,1688
20345252-3a5d-4f1f-b92e-5e2f7cba091a,Nicole Stone,Traffic Signal Fault,6,2024-06-03 00:00:00.499732,1745
8148fb4b-0cfc-40b8-b2cc-86f261c1bf8a,Matthew Robinson,Road Block,22,2024-03-22 00:00:00.661818,1491
b284dfaa-b96a-4026-a896-2f440a774ff7,Nicole Stone,Toll Issue,12,2024-03-03 00:00:00.635352,1490
1e2ba5e9-84d0-43a8-8d5f-dddda7a585e8,Shawn Moses,Accident,6,2024-04-10 00:00:00.216444,1646
b0b41bea-815d-447a-abeb-1970f04d0821,Julia Jones,Complaint,14,2024-04-26 00:00:00.786053,1889
dbee6660-4a80-4bce-bf9c-313359bec6a8,Morgan Valdez,Complaint,25,2024-05-05 00:00:00.193343,1992
0373f3b8-cd87-4dd7-9f3d-e0c1f1165566,Jennifer Stanley,Toll Issue,5,2024-05-05 00:00:00.281641,1992
3d748795-cc70-458a-9935-55b568309ece,Richard Pugh,Complaint,19,2024-06-03 00:00:00.378014,1745
e39f76dd-0ccf-4028-98c3-09ee06329262,Keith Preston,Traffic Signal Fault,3,2024-06-20 00:00:00.192974,1903
3a30f8ab-4f07-4803-a2c7-98ccbafcdb6a,Jennifer Stanley,Traffic Signal Fault,4,2024-02-01 00:00:00.602841,1853
67914e4b-387d-4146-9d8b-4bb7c6eab5a2,Jeffrey Harding,Toll Issue,28,2024-06-22 00:00:00.269696,1280
11206704-5d95-4b02-8fba-a6ea67eb356d,Joseph Gray,Traffic Signal Fault,13,2024-03-29 00:00:00.322294,1686
024f8022-9548-4771-81c6-c6e07b925bfc,Ralph Horton,Transport Query,25,2024-06-22 00:00:00.567147,1280
c83428f7-e5c5-401f-8e74-fa5e1d3acc07,Anna Parsons,Accident,10,2024-03-24 00:00:00.920969,1503
552a7169-d156-48e4-b59c-63bc628a0f0d,Kimberly Reid,Accident,28,2024-03-18 00:00:00.369874,1052
79e44ac0-70fe-4a1e-9f48-c7c57860d276,Jerry Johnson,Toll Issue,21,2024-01-23 00:00:00.789206,1688
1bb6357f-f83b-4a5c-a4e3-f988664eba78,Sean Harvey,Accident,14,2024-06-22 00:00:00.350286,1280
f1d79582-717b-47e1-aa7d-a0b5b9b942cd,Cynthia Freeman,Traffic Signal Fault,16,2024-01-14 00:00:00.535982,1090
93502e11-8569-430b-94c7-57f5478cffe0,Anna Parsons,Complaint,20,2024-04-10 00:00:00.709222,1646
fcddd613-aadf-4f30-b2a2-4a18064c9341,Cameron Cordova,Complaint,9,2024-03-03 00:00:00.651146,1490
7a8c9967-70ae-49dd-9b37-5927700d243e,Jon Ward,Toll Issue,17,2024-06-03 00:00:00.458014,1745
4f469f8a-ad4a-49c0-85df-e0a52ab7b9ab,Nancy Dawson,Traffic Signal Fault,10,2024-02-29 00:00:00.447787,1246
54ebf6fc-adca-4f99-a9de-29b85c584b51,Benjamin Hammond,Traffic Signal Fault,9,2024-03-24 00:00:00.813250,1503
441e2a10-82c3-4ceb-9397-d0e92b6bec1f,Carrie Quinn,Accident,6,2024-02-01 00:00:00.403611,1853
f02b7a99-691c-4456-8abb-fb9e2aac7b95,Jeffrey Harding,Toll Issue,30,2024-02-21 00:00:00.442304,1036
ba0e5288-02af-4b67-8230-65aec4a93235,Matthew Keller,Road Block,12,2024-01-21 00:00:00.791473,1675
f4da8359-74f7-4751-9dc7-9ee415a8e678,Keith Durham,Road Block,26,2024-01-09 00:00:00.847759,1869
00edbc5d-675b-4f1b-ab73-beb7411418ad,Mary Allen,Complaint,20,2024-03-08 00:00:00.449622,1654
e9bddbe2-c0aa-4782-9f1a-2e6f00b1a224,Mary Allen,Toll Issue,8,2024-04-26 00:00:00.420182,1889
cee6d086-1137-474f-b92d-99928ab91b4c,Joseph Gray,Complaint,14,2024-02-01 00:00:00.548635,1853
14d94fb3-7bef-4532-a63a-7499d78a9bc1,David Price,Complaint,20,2024-02-21 00:00:00.260282,1036
5a604ad9-51ff-4f00-b215-d3d819f1458f,Regina Conley,Accident,3,2024-02-21 00:00:00.071606,1036
40343232-7ec7-4486-a799-10fc9cf0efa9,Jon Ward,Traffic Signal Fault,10,2024-06-20 00:00:00.940386,1903
cb6fdf70-ea53-4173-9bdf-9473952792bd,Jonathan Hopkins,Complaint,29,2024-01-09 00:00:00.045954,1869
b28dbe5f-c38a-49b8-93ef-e924d6e68b28,Benjamin Hammond,Transport Query,29,2024-06-20 00:00:00.933109,1903
70f8c14d-de1e-4c98-8369-c75b7e438955,Richard Pugh,Complaint,16,2024-05-05 00:00:00.195118,1992
a3924d0f-be38-44a7-b7f1-874123b751f5,Benjamin Hammond,Transport Query,9,2024-03-29 00:00:00.623479,1686
7292b704-c671-49c8-b902-bbde07647be6,Cameron Cordova,Transport Query,2,2024-03-18 00:00:00.133755,1052
f9d20617-1005-434b-86c7-fc22469a86b9,Matthew Keller,Complaint,29,2024-06-04 00:00:00.958360,1137
840703ee-8eba-4e06-ac78-7b772c109b06,Stephanie Ortega,Complaint,7,2024-01-14 00:00:00.022926,1090
d2c91126-64cc-45f4-b51e-dd7b7cb27900,Nicole Stone,Traffic Signal Fault,3,2024-01-31 00:00:00.021331,1559
2a1b56dd-7076-4b2f-9f17-1773a3b88be0,Nancy Dawson,Toll Issue,15,2024-03-24 00:00:00.235590,1503
00b0dc48-05b0-4ca0-85f1-b841a94d2d7b,Robert Bell,Toll Issue,16,2024-03-24 00:00:00.608337,1503
fdd8db03-6ced-4206-95a9-9c8c413591a0,Nicole Stone,Transport Query,27,2024-03-22 00:00:00.696454,1491
8e018b99-044e-41e9-b34b-5991673e953e,Kenneth Wells,Toll Issue,22,2024-03-08 00:00:00.432348,1654
37646542-8d16-49ef-aa96-48a2cd07c853,Shannon Simpson MD,Transport Query,1,2024-01-31 00:00:00.306270,1559
5df7beb3-f690-41fb-bac5-ff8d222813ba,Joseph Roberts,Complaint,27,2024-03-03 00:00:00.547322,1490
2f159dfc-7f79-4e27-ad80-c8db948dfa9e,Andrew Boyer,Road Block,4,2024-02-29 00:00:00.331554,1246
6e207f3b-3872-42bc-94b6-30992182bef1,Jonathan Hopkins,Accident,27,2024-01-09 00:00:00.735893,1869
9715a2ac-32b0-4687-820a-163bbc015fd5,Mr. Richard Robinson Jr.,Road Block,18,2024-01-14 00:00:00.297783,1090
ab02464e-5b52-456d-bf10-adda29bfa92f,Cynthia Freeman,Road Block,26,2024-04-10 00:00:00.418197,1646
25039f8f-3595-4f6d-8c19-3ed77f6aa57a,Keith Preston,Complaint,5,2024-02-29 00:00:00.095632,1246
aec99aea-7bdf-42b4-9245-c447193deee0,Joanne Allen,Transport Query,3,2024-03-03 00:00:00.572264,1490
c15e528d-d748-43bc-bb69-bfa59c1d93af,Erik Webb,Accident,7,2024-03-08 00:00:00.197083,1654
bff20cb3-f446-4649-95e1-9a4886b80131,Joseph Roberts,Toll Issue,19,2024-02-01 00:00:00.349646,1853
91deaab5-2279-419e-badc-65a69d47410f,Keith Durham,Toll Issue,1,2024-01-23 00:00:00.419851,1688
fa9763b9-995f-4356-aa52-cf167b39685e,David Price,Accident,13,2024-03-29 00:00:00.600299,1686
d9900d04-da70-486a-8e53-2e05a261360a,Matthew Robinson,Traffic Signal Fault,25,2024-05-05 00:00:00.764602,1992
a39f3d08-5ce0-4e49-9917-077d00d66e4d,Carrie Quinn,Accident,28,2024-03-28 00:00:00.950553,1128
355350eb-4cec-46dd-976a-12ea77769e90,Mary Allen,Road Block,24,2024-05-05 00:00:00.491632,1992
54813fc8-bba6-43b6-b3d1-34a7ec0ab76c,Jason Thompson,Transport Query,28,2024-04-26 00:00:00.575663,1889
422ac3c3-57f3-4f9c-9281-3f029ea84a0a,Benjamin Hammond,Traffic Signal Fault,26,2024-06-20 00:00:00.999387,1903
233f804e-eb73-4d1e-8aa0-ed4a0da903b8,Keith Durham,Complaint,29,2024-01-09 00:00:00.887258,1869
a0c90338-2af1-4a07-aad7-36c89c15efe8,Morgan Valdez,Road Block,26,2024-02-09 00:00:00.306093,1632
421a004f-f4f3-4bde-9b7d-203baf841cc2,Shawn Moses,Road Block,14,2024-03-22 00:00:00.676220,1491
48b672ab-a01d-426e-929e-6bc4ec88fdfc,Joshua Jones,Transport Query,21,2024-01-23 00:00:00.722071,1688
a0ce1cd7-c280-4d65-b7ca-8dd509ea7b41,Samantha Holland,Accident,18,2024-02-29 00:00:00.618599,1246
64dbca3b-c17a-4133-aa24-390e38c218e3,Mary Allen,Transport Query,19,2024-04-26 00:00:00.478909,1889
0900445e-3692-4572-9157-2706b2a2e08d,Nancy Dawson,Transport Query,17,2024-06-22 00:00:00.758529,1280
84b24589-8f3e-4658-b030-26080a32c196,Samantha Holland,Road Block,5,2024-03-29 00:00:00.378429,1686
